485 - 153.19.21.28 -  - 1261054473
486 - 208.80.193.37 -  - 1261056713
487 - 67.218.116.131 -  - 1261059977
488 - 81.190.104.248 -  - 1261065759
489 - 83.11.2.171 -  - 1261079701
490 - 81.52.143.33 -  - 1261092730
491 - 67.215.230.25 -  - 1261094188
492 - 67.195.115.229 -  - 1261101214
493 - 208.80.193.31 -  - 1261105534
494 - 193.47.80.45 -  - 1261116688
495 - 208.80.193.30 -  - 1261119437
496 - 65.55.207.121 -  - 1261121071
497 - 65.55.207.121 -  - 1261121075
498 - 87.205.9.144 -  - 1261136554
499 - 213.238.119.67 -  - 1261149882
500 - 66.235.124.19 -  - 1261154851
501 - 208.80.193.37 -  - 1261171211
502 - 66.249.65.57 -  - 1261172752
503 - 67.215.230.25 -  - 1261180807
504 - 77.88.30.246 -  - 1261218663
505 - 208.80.193.44 -  - 1261220975
506 - 208.80.193.29 -  - 1261235147
507 - 123.125.66.129 -  - 1261263002
508 - 220.181.7.88 -  - 1261263002
509 - 67.215.230.20 -  - 1261267180
510 - 66.249.65.57 -  - 1261267356
511 - 67.195.115.229 -  - 1261274289
512 - 65.55.106.185 -  - 1261288687
513 - 65.55.106.185 -  - 1261288690
514 - 208.80.193.26 -  - 1261289277
515 - 38.105.83.12 -  - 1261301057
516 - 87.207.189.200 -  - 1261316343
517 - 208.80.193.42 -  - 1261338989
518 - 66.249.65.57 -  - 1261346833
519 - 81.52.143.33 -  - 1261351403
520 - 208.80.193.29 -  - 1261353272
521 - 67.215.230.24 -  - 1261353599
522 - 66.235.124.19 -  - 1261406560
523 - 208.80.193.27 -  - 1261407161
524 - 83.5.220.156 -  - 1261420625
525 - 66.249.65.57 -  - 1261433058
526 - 67.215.230.24 -  - 1261439723
527 - 208.80.193.38 -  - 1261456628
528 - 208.80.193.26 -  - 1261471405
529 - 66.249.65.57 -  - 1261474311
530 - 65.55.207.21 -  - 1261474597
531 - 65.55.207.21 -  - 1261474599
532 - 66.249.65.57 -  - 1261523474
533 - 67.215.230.25 -  - 1261526426
534 - 67.195.115.229 -  - 1261533891
535 - 83.3.134.246 -  - 1261577128
536 - 208.80.193.53 -  - 1261578038
537 - 80.55.53.170 -  - 1261580176
538 - 208.80.193.38 -  - 1261591302
539 - 66.249.65.57 -  - 1261610996
540 - 67.215.230.20 -  - 1261612717
541 - 81.52.143.33 -  - 1261613255
542 - 125.116.76.77 -  - 1261615784
543 - 195.187.245.78 -  - 1261644633
